"Order_ID
(internal use)",vorder,var_code,Dataset name,Sweep / Year / Age,Area,Topic,"Collection 
Instrument","Questionnaire 
- general section","Questionnaire
- subsection/ scale",CAPI code,Respondent,About whom,Derived variable,Variable label,Value labels,Variable name,"Requested
(y = yes)","Research Purpose
(e = exposure,
c = confounder,
o = outcome)","Newly Requested (Amendment)
(y = yes)"
14755,2,,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Administration,,,,,,Cohort member,No,Cohort Member number within an MCS family   ,(1.0) 1st Cohort Member of the family (2.0) 2nd Cohort Member of the family (3.0) 3rd Cohort Member of the family ,FCNUM00,,,
14756,3,0.003,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Gender,,,,,Cohort Member,Cohort Member,Yes,CM Sex  ,(-1.0) Not known/Not applicable        (1.0) Male    (2.0) Female  ,FCCSEX00,,,
14757,4,0.004,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Age,,,,,Cohort Member,Cohort Member,Yes,CM DOB (month)  ,(-1.0) Not applicable  (1.0) January (2.0) February        (3.0) March   (4.0) April   (5.0) May     (6.0) June    (7.0) July    (8.0) August  (9.0) September       (10.0) October (11.0) November        (12.0) December        ,FCCDBM00,,,
14758,5,0.005,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Age,,,,,Cohort Member,Cohort Member,Yes,CM DOB (year)   ,(-1.0) Not applicable  ,FCCDBY00,,,
14759,6,0.006,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Age,,,,,Cohort Member,Cohort Member,Yes,CM Age last birthday,(-1.0) Not applicable  ,FCCAGE00,,,
14760,7,612.003,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Administration,,,,Version,Cohort Member,Cohort Member,Yes,PM_IWinf - Script version   ,(-1.0) Not applicable  ,FCVERSF0,,,
14761,8,612.015,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Administration,,,,PhysMeasIWinfo_intr,Cohort Member,Cohort Member,Yes,PhysMeasIWinfo entry flag   ,(-1.0) Not applicable  (0.0) Not answered    (1.0) Answered        ,FCINTROA,,,
14762,9,612.016,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,CHIC,Cohort Member,Cohort Member,Yes,"IWR: Guardian consent for physical measurements [Yes, consent for all]  ",(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCCHIC0A,,,
14763,10,612.017,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,CHIC,Cohort Member,Cohort Member,Yes,"IWR: Guardian consent for physical measurements MC [Yes, consent for height]",(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCCHIC0B,,,
14764,11,612.018,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,CHIC,Cohort Member,Cohort Member,Yes,"IWR: Guardian consent for physical measurements MC [Yes, consent for weight]",(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCCHIC0C,,,
14765,12,612.019,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,CHIC,Cohort Member,Cohort Member,Yes,"IWR: Guardian consent for physical measurements MC [Yes, consent for body fat]  ",(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCCHIC0D,,,
14766,13,612.02,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,CHIC,Cohort Member,Cohort Member,Yes,"IWR: Guardian consent for physical measurements [No, didnt consent for any] ",(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCCHIC0E,,,
14767,14,612.021,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,CHAC,Cohort Member,Cohort Member,Yes,"IWR: CM consent for physical measurements MC [Yes, consent for all] ",(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCCHAC0A,,,
14768,15,612.022,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,CHAC,Cohort Member,Cohort Member,Yes,"IWR: CM consent for physical measurements [Yes, consent for height] ",(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCCHAC0B,,,
14769,16,612.023,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,CHAC,Cohort Member,Cohort Member,Yes,"IWR: CM consent for physical measurements [Yes, consent for weight] ",(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCCHAC0C,,,
14770,17,612.024,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,CHAC,Cohort Member,Cohort Member,Yes,"IWR: CM consent for physical measurements [Yes, consent for body fat]   ",(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCCHAC0D,,,
14771,18,612.025,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,CHAC,Cohort Member,Cohort Member,Yes,"IWR: CM consent for physical measurements MC [No, didnt consent for any]",(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCCHAC0E,,,
14772,19,612.026,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTCM,Cohort Member,Cohort Member,Yes,Height in centimeters,(-5.0) UNABLE TO OBTAIN HEIGHT MEASUREMENT     (-1.0) Not applicable  ,FCHTCM00,,,
14773,20,612.027,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,htcm1d,Cohort Member,Cohort Member,Yes,Decimal part of height in cms (0.1cm steps) ,(-1.0) Not applicable  (1.0) .1      (2.0) .2      (3.0) .3      (4.0) .4      (5.0) .5      (6.0) .6      (7.0) .7      (8.0) .8      (9.0) .9      (10.0) .0      ,FCHTCM1D,,,
14774,21,612.028,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,,Cohort Member,Cohort Member,Yes,Original HTCM value before HTCM1D added ,(-1.0) Not applicable  ,FCHTCMOR,,,
14775,22,612.029,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTCM1,Cohort Member,Cohort Member,Yes,Original HTCM value pre Edit,(-1.0) Not applicable  ,FCHTCMPE,,,
14776,23,612.03,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTFT,Cohort Member,Cohort Member,Yes,CM Computed : Height from HtCm / feet   ,(-1.0) Not applicable  ,FCHTFT00,,,
14777,24,612.031,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTIN,Cohort Member,Cohort Member,Yes,CM Computed : Height from HtCm / inches ,(-1.0) Not applicable  ,FCHTIN00,,,
14778,25,612.032,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTCMCHK1,Cohort Member,Cohort Member,Yes,IWR: Check height measurement instruments [Stadiometer assembled correctly] ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTCCKA,,,
14779,26,612.033,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTCMCHK1,Cohort Member,Cohort Member,Yes,IWR: Check height measurement instruments [Correctly read stadiometer]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTCCKB,,,
14780,27,612.034,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTCMCHK1,Cohort Member,Cohort Member,Yes,IWR: Check height measurement instruments [Measurement keyed correctly] ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTCCKC,,,
14781,28,612.035,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTCMCHK1,Cohort Member,Cohort Member,Yes,IWR: Check height measurement instruments [Measurement to be amended]   ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTCCKD,,,
14782,29,612.036,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,CHKHTCM,Cohort Member,Cohort Member,Yes,IWR: Confirm height ,(-1.0) Not applicable  (1.0) Yes     (2.0) No      ,FCHKHTCK,,,
14783,30,612.039,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,UNHT,Cohort Member,Cohort Member,Yes,IWR: Reason unable to measure height (A) [Other],(-1.0) Not applicable  (1.0) Young person cannot stand unaided       (2.0) Young person self-conscious about heigh (3.0) Young person would not / could not stan (4.0) Young person refused    (5.0) Parent refused  (6.0) Problem with stadiometer        (7.0) Other (PLEASE SPECIFY)  (8.0) Don't know      (9.0) Refused (10.0) Vague irrelevant answer ,FCUNHT00,,,
14784,31,612.04,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTAT,Cohort Member,Cohort Member,Yes,IWR: Number of attempts to take measurement ,(-1.0) Not applicable  ,FCHTAT00,,,
14785,32,612.041,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTATCHK,Cohort Member,Cohort Member,Yes,"IWR: High number of attempts, is this correct?  ",(-1.0) Not applicable  (1.0) Yes     (2.0) No      ,FCHTATCK,,,
14786,33,612.042,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTM1,Cohort Member,Cohort Member,Yes,IWR: Time of measurement (hours),(-1.0) Not applicable  ,FCHTM100,,,
14787,34,612.043,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTM2,Cohort Member,Cohort Member,Yes,IWR: Time of measurement (minutes)  ,(-1.0) Not applicable  ,FCHTM200,,,
14788,35,612.044,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTTMCHK,Cohort Member,Cohort Member,Yes,IWR: Check this is between 9pm and 7am  ,(-1.0) Not applicable  (1.0) Yes     (2.0) No      ,FCHTTMCK,,,
